ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Is_Pre_PQ,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Freight_Cost_per_KG,Freight_Pct_of_Value,Delivery_Variance_Days,Data_Subset,Mode_Clean,,,
14240,105-SS-T30,FPQ-15569,SCMS-272160,ASN-31323,South Sudan,PMO - US,Direct Drop,EXW,Air,0,12/29/2014,2/20/2015,6/3/2015,6/3/2015,6/5/2015,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,70,6230,89,0.89,"Alere Medical Co., Ltd.",Yes,Weight Captured Separately,Invoiced Separately,7.33,#VALUE!,#VALUE!,0,Non-Billable,AIR,,,
14241,111-MZ-T30,FPQ-13134,SCMS-215600,ASN-24703,Mozambique,PMO - US,Direct Drop,EXW,Air,0,11/12/2013,11/26/2013,4/9/2014,4/9/2014,7/8/2014,ARV,Adult,Aurobindo Pharma Limited,"Didanosine 250mg, delayed-release capsules, 30 Caps",Didanosine,Generic,250mg,Delayed-release capsules,30,800,6064,7.58,0.25,"Aurobindo Unit III, India",Yes,77,979.14,6.23,12.7161039,16.14676781,0,Billable,AIR,,,
14252,114-UG-T30,FPQ-13116,SCMS-212350,ASN-24417,Uganda,PMO - US,Direct Drop,EXW,Air,0,10/23/2013,10/30/2013,3/21/2014,3/21/2014,3/21/2014,ARV,Pediatric,CIPLA LIMITED,"Lamivudine/Zidovudine 30/60mg, dispersible tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,30/60mg,Chewable/dispersible tablet - FDC,60,7445,16676.8,2.24,0.04,"Cipla, Goa, India",Yes,574,3868.24,17.14,6.739094077,23.19533723,0,Billable,AIR,,,
14265,108-VN-T30,FPQ-11418,SCMS-176190,ASN-19193,Vietnam,PMO - US,Direct Drop,EXW,Air,0,1/29/2013,2/5/2013,5/24/2013,5/24/2013,5/24/2013,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,263,486.55,1.85,0.01,"Aurobindo Unit III, India",Yes,182,5970.85,0.6,32.80686813,1227.181174,0,Billable,AIR,,,
14278,117-ET-T30,FPQ-4851,SCMS-62830,ASN-6210,Ethiopia,PMO - US,Direct Drop,EXW,Air,0,1/5/2010,1/13/2010,3/4/2010,3/4/2010,3/4/2010,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,56000,133280,2.38,0.04,"Aurobindo Unit III, India",Yes,2996,10612.93,287.35,3.542366489,7.962882653,0,Billable,AIR,,,
14279,900-TZ-T30,FPQ-10394,SCMS-156530,ASN-16470,Tanzania,PMO - US,Direct Drop,EXW,Air,0,7/26/2012,8/9/2012,11/1/2012,11/1/2012,11/1/2012,ARV,Adult,HETERO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,100986,343352.4,3.4,0.11,Hetero Unit III Hyderabad IN,Yes,10579,41585.93,481.38,3.930988751,12.11173418,0,Billable,AIR,,,
14286,104-CI-T30,FPQ-12134,SCMS-190721,ASN-22462,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,0,4/23/2013,5/21/2013,11/27/2013,11/27/2013,12/2/2013,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20,1900,55100,29,1.45,Chembio Diagnostics Sys. Inc.,Yes,550,8263.16,68.16,15.02392727,14.99666062,0,Billable,AIR,,,
14291,109-TZ-T30,FPQ-13945,SCMS-235410,ASN-26077,Tanzania,PMO - US,Direct Drop,EXW,Air,0,3/27/2014,4/29/2014,7/15/2014,7/15/2014,8/12/2014,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,100,8000,80,0.8,"Alere Medical Co., Ltd.",Yes,39,1176.54,8.22,30.16769231,14.70675,0,Billable,AIR,,,
14309,108-VN-T30,FPQ-10286,SCMS-155700,ASN-17018,Vietnam,PMO - US,Direct Drop,FCA,Air,0,7/25/2012,8/14/2012,1/15/2013,1/15/2013,1/15/2013,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,3812,231845.84,60.82,0.51,ABBVIE Ludwigshafen Germany,Yes,824,3216.15,325.05,3.90309466,1.387193318,0,Billable,AIR,,,
14323,105-DO-T30,FPQ-7858,SCMS-117380,ASN-12145,Dominican Republic,PMO - US,Direct Drop,EXW,Air,0,6/21/2011,8/3/2011,9/27/2011,9/27/2011,9/27/2011,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, 100 Tests","HIV 1/2, Bioline 3.0 Kit",Bioline,N/A,Test kit,100,112,8400,75,0.75,"Standard Diagnostics, Korea",No,See ASN-12145 (ID#:13696),See ASN-12145 (ID#:13696),13.86,#VALUE!,#VALUE!,0,Non-Billable,AIR,,,
14331,108-VN-T30,FPQ-3896,SCMS-48280,ASN-4871,Vietnam,PMO - US,Direct Drop,EXW,Air,0,6/25/2009,6/29/2009,9/28/2009,9/28/2009,9/28/2009,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,3528,22932,6.5,0.22,Mylan (formerly Matrix) Nashik,Yes,383,1162.52,44.95,3.035300261,5.069422641,0,Billable,AIR,,,
14348,133-NG-T30,FPQ-7553,SCMS-108720,ASN-11270,Nigeria,PMO - US,Direct Drop,EXW,Air,0,4/28/2011,5/23/2011,7/27/2011,7/27/2011,7/27/2011,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,2044,181916,89,0.89,Inverness Japan,Yes,976,26014.88,300.16,26.65459016,14.30049034,0,Billable,AIR,,,
14364,116-ZA-T30,FPQ-13973,SCMS-238554,ASN-28627,South Africa,PMO - US,Direct Drop,DDP,Truck,0,4/30/2014,10/3/2014,10/3/2014,10/3/2014,10/3/2014,ARV,Adult,PHARMACY DIRECT,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,9,620.91,68.99,1.15,"Aurobindo Unit III, India",Yes,Weight Captured Separately,Freight Included in Commodity Cost,0.64,#VALUE!,#VALUE!,0,Non-Billable,TRUCK,,,
14384,109-TZ-T30,FPQ-13048,SCMS-210920,ASN-24302,Tanzania,PMO - US,Direct Drop,EXW,Air,0,10/3/2013,10/28/2013,3/22/2014,3/22/2014,3/22/2014,ARV,Pediatric,Aurobindo Pharma Limited,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,20867,32552.52,1.56,0.05,"Aurobindo Unit III, India",Yes,1337,8403.67,40.27,6.285467464,25.81572794,0,Billable,AIR,,,
14404,161-ZA-T30,FPQ-7175,SCMS-103970,ASN-11255,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,3/10/2011,3/28/2011,9/2/2011,9/2/2011,9/2/2011,ARV,Adult,STRIDES ARCOLAB LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,150000,430500,2.87,0.05,"Strides, Bangalore, India.",Yes,9306,10511.33,710.32,1.129521814,2.441656214,0,Billable,OCEAN,,,
14409,161-ZA-T30,FPQ-6262,SCMS-84200,ASN-9693,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,8/31/2010,9/21/2010,3/14/2011,3/14/2011,3/14/2011,ARV,Adult,CIPLA LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,159000,443610,2.79,0.05,"Cipla, Goa, India",Yes,16729,25199.31,956.42,1.506324945,5.680509907,0,Billable,OCEAN,,,
14410,112-NG-T30,FPQ-6124,SCMS-93420,ASN-9751,Nigeria,PMO - US,Direct Drop,EXW,Air,0,7/29/2010,12/7/2010,2/28/2011,2/28/2011,2/28/2011,ACT,ACT,NOVARTIS PHARMA SERVICES AG,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 24 Tabs",Artemether/Lumefantrine,Coartem,20/120mg,Tablet - FDC + blister,720,1245,48555,39,0.05,"Novartis Pharma Suffern, USA",Yes,859,5810.56,104.68,6.764330617,11.9669653,0,Billable,AIR,,,
14412,116-ZA-T30,FPQ-13973,SCMS-238555,ASN-29255,South Africa,PMO - US,Direct Drop,DDP,Truck,0,4/30/2014,11/4/2014,11/5/2014,11/5/2014,11/5/2014,ARV,Adult,PHARMACY DIRECT,"Raltegravir 400mg [Isentress], tablets, 60 Tabs",Raltegravir,Isentress,400mg,Tablet,60,24,2031.3,84.64,1.41,"MSD, Haarlem, NL",Yes,Weight Captured Separately,Freight Included in Commodity Cost,2.09,#VALUE!,#VALUE!,0,Non-Billable,TRUCK,,,
14431,107-RW-T30,FPQ-8399,SCMS-126230,ASN-15270,Rwanda,PMO - US,Direct Drop,FCA,Air,0,10/19/2011,11/2/2011,7/5/2012,7/5/2012,7/5/2012,ARV,Adult,Hoffmann-La Roche ltd Basel,"Nelfinavir (as mesilate) 250mg [Viracept], tablets, 270 Tabs",Nelfinavir (as mesilate),Viracept,250mg,Tablet,270,109,17410.04,159.73,0.59,Roche Madrid,Yes,27,2205.25,28.73,81.67592593,12.66654183,0,Billable,AIR,,,
14433,116-ZA-T30,FPQ-4770,SCMS-60170,ASN-5933,South Africa,PMO - US,Direct Drop,DDP,Truck,0,12/17/2009,12/23/2009,12/29/2009,12/29/2009,12/29/2009,ARV,Adult,S. BUYS WHOLESALER,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,100,4669.76,46.7,1.56,"Aspen-OSD, Port Elizabeth, SA",Yes,Weight Captured Separately,Freight Included in Commodity Cost,10.07,#VALUE!,#VALUE!,0,Non-Billable,TRUCK,,,
14437,116-ZA-T30,FPQ-14942,SCMS-259085,ASN-33333,South Africa,PMO - US,Direct Drop,DDP,Truck,0,9/11/2014,7/14/2015,7/14/2015,7/14/2015,7/14/2015,ARV,Pediatric,PHARMACY DIRECT,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,3,51.42,17.14,0.06,ABBVIE (Abbott) Logis. UK,Yes,Weight Captured Separately,Freight Included in Commodity Cost,0.05,#VALUE!,#VALUE!,0,Non-Billable,TRUCK,,,
14440,161-ZA-T30,FPQ-6262,SCMS-91340,ASN-9807,South Africa,PMO - US,Direct Drop,DDP,Air,0,8/31/2010,11/19/2010,2/9/2011,2/9/2011,2/9/2011,ARV,Pediatric,ASPEN PHARMACARE,"Abacavir 20mg/ml [Ziagen], oral solution, Bottle, 240 ml",Abacavir,Ziagen,20mg/ml,Oral solution,240,28000,280560,10.02,0.04,GSK Mississauga (Canada),Yes,Weight Captured Separately,Freight Included in Commodity Cost,604.89,#VALUE!,#VALUE!,0,Non-Billable,AIR,,,
14447,116-ZA-T30,FPQ-7176,SCMS-104380,ASN-11802,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,3/10/2011,4/1/2011,11/3/2011,10/10/2011,10/10/2011,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,5745,25909.95,4.51,0.15,"Aurobindo Unit III, India",Yes,488,4232.71,42.75,8.673586066,16.33623376,-24,Billable,OCEAN,,,
14508,113-ZW-T30,FPQ-7521,SCMS-108030,ASN-11413,Zimbabwe,PMO - US,Direct Drop,EXW,Air,0,4/7/2011,5/5/2011,9/8/2011,9/8/2011,9/8/2011,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,2730,218400,80,0.8,Inverness Japan,Yes,1053,27236.25,360.36,25.86538462,12.47081044,0,Billable,AIR,,,
14542,161-ZA-T30,FPQ-5303,SCMS-68980,ASN-9647,South Africa,PMO - US,Direct Drop,DDP,Air,0,3/18/2010,3/19/2010,8/24/2010,3/4/2011,3/4/2011,ARV,Pediatric,Aurobindo Pharma Limited,"Lamivudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,6395,19185,3,0.01,"Aurobindo Unit III, India",Yes,Weight Captured Separately,Freight Included in Commodity Cost,41.36,#VALUE!,#VALUE!,192,Non-Billable,AIR,,,
14564,116-ZA-T30,FPQ-14942,SCMS-259074,ASN-31070,South Africa,PMO - US,Direct Drop,DDP,Truck,0,9/11/2014,3/9/2015,3/9/2015,3/9/2015,3/9/2015,ARV,Adult,PHARMACY DIRECT,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,7,126.22,18.03,0.3,"Aurobindo Unit III, India",No,Weight Captured Separately,Freight Included in Commodity Cost,0.13,#VALUE!,#VALUE!,0,Non-Billable,TRUCK,,,
14571,133-NG-T30,FPQ-10349,SCMS-155321,ASN-17168,Nigeria,PMO - US,Direct Drop,EXW,Air,0,7/17/2012,8/13/2012,11/28/2012,11/27/2012,11/27/2012,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,2744,244216,89,0.89,"Alere Medical Co., Ltd.",Yes,1303,28734.43,342.39,22.05251727,11.76598994,-1,Billable,AIR,,,
14578,106-HT-T30,FPQ-11442,SCMS-177180,ASN-18919,Haiti,PMO - US,Direct Drop,EXW,Ocean,0,1/30/2013,3/11/2013,8/7/2013,8/7/2013,8/7/2013,ARV,Pediatric,Aurobindo Pharma Limited,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,3680,20240,5.5,0.06,"Aurobindo Unit III, India",Yes,6385,8768.76,25.04,1.37333751,43.32391304,0,Billable,OCEAN,,,
14605,106-HT-T30,FPQ-11442,SCMS-177160,ASN-18905,Haiti,PMO - US,Direct Drop,EXW,Ocean,0,1/30/2013,3/7/2013,8/7/2013,8/7/2013,8/7/2013,ARV,Adult,HETERO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,71376,231258.24,3.24,0.11,"Hetero, Jadcherla, unit 5, IN",Yes,5864,7558.01,286.07,1.288883015,3.268212194,0,Billable,OCEAN,,,
14628,116-ZA-T30,FPQ-12522,SCMS-199283,ASN-27978,South Africa,PMO - US,Direct Drop,DDP,Truck,0,7/11/2013,8/27/2014,8/27/2014,8/27/2014,8/27/2014,ARV,Adult,S. BUYS WHOLESALER,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,48,1236.47,25.76,0.21,ABBVIE Ludwigshafen Germany,No,Weight Captured Separately,Freight Included in Commodity Cost,1.53,#VALUE!,#VALUE!,0,Non-Billable,TRUCK,,,
14658,110-ZM-T30,FPQ-14790,SCMS-253020,ASN-31638,Zambia,PMO - US,Direct Drop,FCA,Air,0,8/13/2014,8/20/2014,4/25/2015,4/25/2015,4/30/2015,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,2265,69807.3,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,2272,14603.71,71.76,6.427689261,20.92003272,0,Billable,AIR,,,
14665,106-HT-T30,FPQ-5725,SCMS-74750,ASN-7454,Haiti,PMO - US,Direct Drop,EXW,Air,0,5/26/2010,6/2/2010,9/13/2010,9/13/2010,9/13/2010,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100,1000,97680,97.68,0.98,Inverness Japan,Yes,227,2486.62,210.6,10.95427313,2.545679771,0,Billable,AIR,,,
14694,104-CI-T30,FPQ-6024,SCMS-80900,ASN-8019,Côte d'Ivoire,PMO - US,Direct Drop,CIP,Air,0,7/19/2010,8/2/2010,9/8/2010,9/8/2010,9/8/2010,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 50mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,50mg,Chewable/dispersible tablet,60,6000,57000,9.5,0.16,"BMS Meymac, France",Yes,1278,1742.12,122.89,1.363161189,3.056350877,0,Billable,AIR,,,
14710,106-HT-T30,FPQ-13797,SCMS-233990,ASN-27716,Haiti,PMO - US,Direct Drop,EXW,Air,0,3/20/2014,4/28/2014,9/12/2014,9/12/2014,9/17/2014,ARV,Adult,MICRO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,29908,89125.84,2.98,0.1,"Micro labs, Verna, Goa, India",Yes,2423,14650.41,91.62,6.046392901,16.43789276,0,Billable,AIR,,,
14743,161-ZA-T30,FPQ-6262,SCMS-83730,ASN-9481,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,8/31/2010,9/24/2010,3/4/2011,3/4/2011,3/4/2011,ARV,Adult,Aurobindo Pharma Limited,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,87500,641375,7.33,0.12,"Aurobindo Unit III, India",Yes,4416,7334.83,1382.8,1.660966938,1.143610212,0,Billable,OCEAN,,,
14785,104-CI-T30,FPQ-12133,SCMS-188290,ASN-20951,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,0,4/18/2013,5/21/2013,8/8/2013,8/8/2013,8/8/2013,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,3200,256000,80,0.8,"Alere Medical Co., Ltd.",Yes,1394,20822.73,316.67,14.93739598,8.133878906,0,Billable,AIR,,,
14803,107-RW-T30,FPQ-13651,SCMS-227720,ASN-25269,Rwanda,PMO - US,Direct Drop,EXW,Air,0,2/5/2014,2/28/2014,5/6/2014,5/6/2014,5/15/2014,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,9720,14677.2,1.51,0.01,"Aurobindo Unit III, India",Yes,4365,Freight Included in Commodity Cost,15.09,#VALUE!,#VALUE!,0,Non-Billable,AIR,,,
14811,107-RW-T30,FPQ-13874,SCMS-232310,ASN-25543,Rwanda,PMO - US,Direct Drop,EXW,Air,0,3/12/2014,4/3/2014,4/28/2014,4/28/2014,4/28/2014,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,N/A,Test kit,1,4068,99666,24.5,24.5,"KHB Test Kit Facility, Shanghai China",Yes,2712,37680.04,102.46,13.89382006,37.80631309,0,Billable,AIR,,,
14820,110-PK-T30,FPQ-9019,SCMS-132510,ASN-13949,Pakistan,PMO - US,Direct Drop,EXW,Air,0,12/27/2011,1/17/2012,6/29/2012,6/29/2012,6/29/2012,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,2132,170560,80,0.8,"Alere Medical Co., Ltd.",Yes,1017,14959.84,239.13,14.70977384,8.771013133,0,Billable,AIR,,,
14846,101-CD-T30,FPQ-11103,SCMS-170640,ASN-18068,"Congo, DRC",PMO - US,Direct Drop,FCA,Air,0,12/7/2012,1/3/2013,4/16/2013,4/16/2013,4/16/2013,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,60,1849.2,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,113,2570.86,2.29,22.75097345,139.0255246,0,Billable,AIR,,,
14871,108-VN-T30,FPQ-10811,SCMS-164560,ASN-18406,Vietnam,PMO - US,Direct Drop,EXW,Air,0,10/15/2012,11/7/2012,3/13/2013,3/13/2013,3/13/2013,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Zidovudine 30/60mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,30/60mg,Tablet - FDC,60,1769,3714.9,2.1,0.04,Mylan (formerly Matrix) Nashik,Yes,1961,7308.37,4.6,3.726858746,196.7312714,0,Billable,AIR,,,
14874,161-ZA-T30,FPQ-5648,SCMS-75520,ASN-8545,South Africa,PMO - US,Direct Drop,DDP,Air,0,6/2/2010,6/16/2010,10/6/2010,10/6/2010,10/6/2010,ARV,Pediatric,ASPEN PHARMACARE,"Abacavir 20mg/ml [Ziagen], oral solution, Bottle, 240 ml",Abacavir,Ziagen,20mg/ml,Oral solution,240,26000,392080,15.08,0.06,GSK Mississauga (Canada),Yes,Weight Captured Separately,7707.42,845.32,#VALUE!,1.965777392,0,Billable,AIR,,,
14929,116-ZA-T30,FPQ-15869,SCMS-278621,ASN-33339,South Africa,PMO - US,Direct Drop,DDP,Truck,0,2/23/2015,5/7/2015,7/15/2015,7/15/2015,7/15/2015,ARV,Adult,PHARMACY DIRECT,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,600/200/300mg,Tablet - FDC,30,9,342.83,38.09,1.27,Mylan (formerly Matrix) Nashik,Yes,Weight Captured Separately,Freight Included in Commodity Cost,0.4,#VALUE!,#VALUE!,0,Non-Billable,TRUCK,,,
14931,107-RW-T30,FPQ-14813,SCMS-268601,ASN-31659,Rwanda,PMO - US,Direct Drop,FCA,Air,0,10/9/2014,12/12/2014,5/12/2015,5/12/2015,5/12/2015,ARV,Pediatric,SWORDS LABORATORIES,"Atazanavir 200mg [Reyataz], capsules, 60 Caps",Atazanavir,Reyataz,200mg,Capsule,60,1080,43869.6,40.62,0.68,Bristol-Myers Squibb Anagni IT,Yes,282,1028.1,45.1,3.645744681,2.343536298,0,Billable,AIR,,,
14941,109-TZ-T30,FPQ-6203,SCMS-82750,ASN-8080,Tanzania,PMO - US,Direct Drop,EXW,Air,0,8/18/2010,8/25/2010,10/22/2010,10/22/2010,10/22/2010,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,600/200/300mg,Tablet - FDC,30,9000,179100,19.9,0.66,Mylan (formerly Matrix) Nashik,Yes,1081,5834.1,386.14,5.396947271,3.257453936,0,Billable,AIR,,,
14943,114-UG-T30,FPQ-4373,SCMS-58220,ASN-6150,Uganda,PMO - US,Direct Drop,CIP,Air,0,11/25/2009,12/2/2009,3/4/2010,3/4/2010,3/4/2010,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Indinavir 400mg [Crixivan], capsules, 180 Caps",Indinavir,Crixivan,400mg,Capsule,180,75,3750,50,0.28,"MSD, Haarlem, NL",Yes,19,435,7.35,22.89473684,11.6,0,Billable,AIR,,,
14970,106-HT-T30,FPQ-5526,SCMS-74010,ASN-7683,Haiti,PMO - US,Direct Drop,CIP,Air,0,5/4/2010,5/25/2010,8/5/2010,8/5/2010,8/5/2010,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",Didanosine,Videx,2g,Powder for oral solution,200,192,2417.28,12.59,0.06,"BMS Meymac, France",Yes,Weight Captured Separately,Freight Included in Commodity Cost,5.21,#VALUE!,#VALUE!,0,Non-Billable,AIR,,,
14988,102-SS-T30,FPQ-9038,SCMS-137200,ASN-14984,South Sudan,PMO - US,Direct Drop,EXW,Air,0,1/17/2012,4/5/2012,6/15/2012,6/15/2012,6/15/2012,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,337,29993,89,0.89,"Alere Medical Co., Ltd.",Yes,181,4978.09,42.05,27.50325967,16.59750608,0,Billable,AIR,,,
15004,116-ZA-T30,FPQ-3560,SCMS-49641,ASN-5136,South Africa,PMO - US,Direct Drop,DDP,Truck,0,5/7/2009,7/21/2009,8/5/2009,8/5/2009,8/5/2009,ARV,Pediatric,S. BUYS WHOLESALER,"Abacavir 20mg/ml [Ziagen], oral solution, Bottle, 240 ml",Abacavir,Ziagen,20mg/ml,Oral solution,240,599,11964.63,19.97,0.08,GSK Mississauga (Canada),Yes,Weight Captured Separately,Freight Included in Commodity Cost,23.45,#VALUE!,#VALUE!,0,Non-Billable,TRUCK,,,
15005,133-NG-T30,FPQ-9599,SCMS-144190,ASN-16132,Nigeria,PMO - US,Direct Drop,EXW,Air,0,3/27/2012,5/3/2012,9/18/2012,9/18/2012,9/18/2012,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20,8018,256576,32,1.6,"Trinity Biotech, Plc",Yes,2607,28595.45,359.72,10.96871883,11.14502136,0,Billable,AIR,,,
15011,107-RW-T30,FPQ-6186,SCMS-83350,ASN-9219,Rwanda,PMO - US,Direct Drop,CIP,Air,0,8/13/2010,9/28/2010,12/12/2010,12/12/2010,12/12/2010,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,9653,168734.44,17.48,0.58,Mylan (formerly Matrix) Nashik,Yes,Weight Captured Separately,Freight Included in Commodity Cost,363.79,#VALUE!,#VALUE!,0,Non-Billable,AIR,,,
