ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Is_Pre_PQ,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Freight_Cost_per_KG,Freight_Pct_of_Value,Delivery_Variance_Days,Data_Subset,Mode_Clean,,,
61,110-ZM-T01,Pre-PQ Process,SCMS-226,ASN-137,Zambia,PMO - US,Direct Drop,EXW,Air,1,,,1/8/2007,1/8/2007,1/8/2007,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20,2500,100000,40,2,"Trinity Biotech, Plc",Yes,853,13569.49,0,15.90796014,13.56949,0,Billable,AIR,,,
62,102-NG-T01,Pre-PQ Process,SCMS-230,ASN-144,Nigeria,PMO - US,Direct Drop,EXW,Air,1,,,1/10/2007,1/10/2007,1/10/2007,HRDT,HIV test,EY Laboratories,"HIV 1/2, InstantChek HIV 1+2 Kit, 100 Tests","HIV 1/2, InstantChek HIV 1+2 Kit",InstantCHEK,N/A,Test kit,100,10,850,85,0.85,"EY Laboratories, USA",Yes,Weight Captured Separately,Invoiced Separately,0,#VALUE!,#VALUE!,0,Non-Billable,AIR,,,
64,107-RW-T01,Pre-PQ Process,SCMS-268,ASN-242,Rwanda,PMO - US,Direct Drop,EXW,Air,1,,12/22/2006,2/27/2007,2/27/2007,2/27/2007,ARV,Adult,CIPLA LIMITED,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,10000,99800,9.98,0.17,"Cipla, Goa, India",Yes,7416,64179.42,0,8.654182848,64.30803607,0,Billable,AIR,,,
65,106-HT-T01,Pre-PQ Process,SCMS-274,ASN-162,Haiti,PMO - US,Direct Drop,EXW,Air,1,,,1/18/2007,1/18/2007,1/18/2007,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,750,60000,80,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,256,1760.32,0,6.87625,2.933866667,0,Billable,AIR,,,
68,113-ZW-T01,Pre-PQ Process,SCMS-308,ASN-285,Zimbabwe,PMO - US,Direct Drop,CIP,Air,1,,1/10/2007,3/19/2007,3/19/2007,3/19/2007,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",Didanosine,Videx,200mg,Tablet,60,579,14764.5,25.5,0.42,"BMS Meymac, France",Yes,Weight Captured Separately,Freight Included in Commodity Cost,0,#VALUE!,#VALUE!,0,Non-Billable,AIR,,,
69,102-NG-T01,Pre-PQ Process,SCMS-354,ASN-608,Nigeria,PMO - US,Direct Drop,CIP,N/A,1,,,5/7/2007,5/7/2007,5/7/2007,HRDT,HIV test,ACCOUN NIGERIA LIMITED,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,1500,120000,80,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,Weight Captured Separately,Freight Included in Commodity Cost,192,#VALUE!,#VALUE!,0,Non-Billable,N/A,,,
80,107-RW-T01,Pre-PQ Process,SCMS-488,ASN-299,Rwanda,PMO - US,Direct Drop,EXW,Air,1,,,3/29/2007,3/29/2007,3/29/2007,HRDT,HIV test,Premier Medical Corporation Ltd.,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests","HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",First Response,N/A,Test kit,30,2000,33000,16.5,0.55,Premier Med. Corp Ltd. India,Yes,710,3120.7,0,4.395352113,9.456666667,0,Billable,AIR,,,
87,109-TZ-T01,Pre-PQ Process,SCMS-555,ASN-409,Tanzania,PMO - US,Direct Drop,CIP,Air,1,,4/12/2007,6/6/2007,6/6/2007,6/6/2007,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",Didanosine,Videx,2g,Powder for oral solution,200,712,8964.08,12.59,0.06,"BMS Meymac, France",Yes,162,912.96,0,5.635555556,10.18464806,0,Billable,AIR,,,
92,102-NG-T01,Pre-PQ Process,SCMS-592,ASN-485,Nigeria,PMO - US,Direct Drop,EXW,Air,1,,5/13/2007,6/19/2007,6/19/2007,6/19/2007,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,1000,80000,80,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,341,2682.47,128,7.866480938,3.3530875,0,Billable,AIR,,,
96,102-NG-T01,Pre-PQ Process,SCMS-570,ASN-451,Nigeria,PMO - US,Direct Drop,EXW,Air,1,,5/17/2007,6/19/2007,6/19/2007,6/19/2007,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20,7500,202500,27,1.35,Chembio Diagnostics Sys. Inc.,Yes,2278,15893.71,0,6.977045654,7.848745679,0,Billable,AIR,,,
